district_id,district_name,model,ssp,epoch,metric,value
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,avg_hot_days_35,21.689904982405388
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,avg_hot_days_35,33.35657078673953
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,avg_hot_days_35,57.584845949310306
NSW_7,Northern NSW,ACCESS-ESM1-5,ssp370,late,avg_hot_days_40,3.2435024236905896
NSW_9,Western Sydney,ACCESS-ESM1-5,ssp370,late,avg_hot_days_40,6.8930705381856034
SA_5,Eyre and Far North,ACCESS-ESM1-5,ssp370,late,avg_hot_days_40,23.18140101503106
NSW_7,Northern NSW,Historical,Historical,Historical,avg_hot_days_35,4.757524275289617
NSW_9,Western Sydney,Historical,Historical,Historical,avg_hot_days_35,10.422838951301916
SA_5,Eyre and Far North,Historical,Historical,Historical,avg_hot_days_35,32.1571222710043
NSW_7,Northern NSW,Historical,Historical,Historical,avg_hot_days_40,0.33466333296225675
NSW_9,Western Sydney,Historical,Historical,Historical,avg_hot_days_40,1.0679896349937499
SA_5,Eyre and Far North,Historical,Historical,Historical,avg_hot_days_40,7.052729869933264
