date,New South Wales_Northern NSW,New South Wales_Western Sydney,South Australia_Eyre and Far North
2035-10-05,5.410524,5.544497,5.3896613
2035-10-06,5.0639195,5.149444,5.042728
2035-10-07,5.425311,5.4345813,5.396796
2035-10-08,5.5556355,5.655709,5.535924
2035-10-09,4.4510803,4.5440836,4.4201093
2035-10-10,4.6425867,4.7225046,4.6031814
2035-10-11,5.199935,5.2829247,5.177318
2035-10-12,7.32847,7.2266994,7.287081
2035-10-13,7.528812,7.484849,7.4819665
2035-10-14,6.073802,5.919636,5.998403
2035-10-15,5.4862375,5.4631424,5.460947
2035-10-16,4.607349,4.773208,4.6004815
2035-10-17,5.452742,5.4951363,5.440938
2035-10-18,5.3638964,5.353942,5.3285055
2035-10-19,5.976786,5.9586334,5.9677067
2035-10-20,5.531605,5.714729,5.5486064
2035-10-21,4.735064,4.78874,4.7188864
2035-10-22,5.996152,6.2315574,5.995163
2035-10-23,8.038115,8.280177,8.01275
2035-10-24,7.6812797,7.947674,7.6828976
2035-10-25,7.4868803,7.256017,7.4463534
2035-10-26,7.3897743,7.442718,7.382772
2035-10-27,6.888131,7.0984845,6.8925214
2035-10-28,5.8705115,6.0709796,5.8518596
2035-10-29,5.932685,6.0114937,5.884147
2035-10-30,6.3213544,6.258035,6.2953553
2035-10-31,6.4912896,6.636812,6.5238547
2035-11-01,5.702434,5.795754,5.6910143
2035-11-02,5.4707246,5.4926534,5.447445
2035-11-03,5.745303,5.856975,5.731125
2035-11-04,5.3738403,5.4895625,5.3522143
2035-11-05,4.255665,4.448388,4.2585626
2035-11-06,4.807275,4.9359365,4.8208933
2035-11-07,4.7573805,4.927612,4.781147
2035-11-08,4.6262355,4.939053,4.643152
2035-11-09,5.0444107,5.104189,5.056624
2035-11-10,4.5042257,4.5948577,4.5053506
2035-11-11,6.575193,6.6968017,6.586173
2035-11-12,6.992975,7.0741777,7.0135975
2035-11-13,5.995016,6.233583,6.006264
2035-11-14,6.73077,6.7624493,6.6900816
2035-11-15,5.1285205,5.1369476,5.1256657
2035-11-16,5.440778,5.528809,5.4377527
2035-11-17,8.557745,8.377573,8.553535
2035-11-18,7.2139654,7.3306284,7.2019706
2035-11-19,6.006853,6.0184546,5.998365
2035-11-20,5.3464437,5.550193,5.3427243
2035-11-21,7.2133646,7.3889184,7.202073
2035-11-22,7.4997087,7.6990604,7.496037
2035-11-23,6.129677,6.2579565,6.112956
2035-11-24,4.817457,4.9258294,4.8053713
2035-11-25,6.2305284,6.4108806,6.2102447
2035-11-26,6.169227,6.2495375,6.163457
2035-11-27,5.1630945,5.2454123,5.1488924
2035-11-28,5.1492286,5.2889695,5.13933
2035-11-29,5.611585,5.7507224,5.603819
2035-11-30,6.857234,6.828213,6.796185
2035-12-01,6.518166,6.6593294,6.4889994
2035-12-02,4.935978,5.086087,4.909936
2035-12-03,5.320704,5.3261833,5.2915797
2035-12-04,5.215383,5.4103413,5.212895
2035-12-05,4.6654215,4.8005676,4.6526656
2035-12-06,5.917137,5.971969,5.9000597
2035-12-07,5.959449,6.015592,5.9520173
2035-12-08,5.830397,6.012642,5.8313556
2035-12-09,5.854305,6.022199,5.8584065
2035-12-10,6.0309844,6.1577587,6.045079
